"address","type","text","date","compensation","link"
"[""\n        "",""\n"",""\n"",""\n"",""\n"",""\n"",""\n"",""\n"",""\n"",""\n"",""\n\n\n\n"",""\n    ""]","full-time","Senior Executive Assistant","2018-03-30 08:11","TBD","https://sandiego.craigslist.org/nsd/ofc/d/senior-executive-assistant/6547187163.html"
"[""\n        "",""\nPLEASE APPLY VIA COMPANY CAREER PORTAL ONLY: "",""\n"",""\nAbout Atlas: Atlas is a customer-centric general insurance agency committed to building strong long-term relationships and providing best-in-class customer service. Atlas offers a comprehensive range of services, including custom marketing, access to top-rated carriers, competitive commissions, dedicated business consultants, underwriters and sales team support. We offer products in the following divisions: Workers' Compensation, General Commercial Lines, and Specialty Property. "",""\n"",""\nAtlas has received over 20 awards since our start in 2009, including SD Business Journal Best Places to Work and 100 Fastest Growing Companies. In 2016, we were named the 4th Healthiest Company in San Diego and were honored with a place on the national IBA's Hot 100 List. We believe our employees and culture are our most important assets and the driving force behind our continued success! To read more about the opportunities and benefits we provide to our employees, visit "",""\n"",""\nSummary: The general purpose of the Loss Control Analyst is to review loss control reports submitted by third party vendors to evaluate the exposures and controls in place and develop appropriate recommendations. The Analyst compares the information provided in the loss control survey with policy information and other data sources to ensure that the file is accurate. The analyst may also review large claims and recommend action. It is the responsibility of the Analyst to notify the underwriter of inconsistencies, uncontrolled exposures and other concerns as identified during the review process. The analyst is instrumental in the development of tools, resources and training documents used both internally and externally."",""\n"",""\nDuties and Responsibilities include the following. Other duties may be assigned."",""\n"",""\n• Manages Loss Control Reports and requests including:"",""\n• Reviewing LC Reports for Underwriting and LC concerns."",""\n• Developing recommendations in relation to reports and notifying the producer."",""\n• Elevating identified safety and health concerns to Director of Loss Control for review"",""\n• Notifying appropriate personnel and documenting files regarding concerns."",""\n• Ordering Loss Control, when requested"",""\n• Maintaining communication with underwriter and producer, as appropriate"",""\n• Develops and provides team training, as needed, to improve knowledge regarding loss control and/or processes and procedures"",""\n• Identifies and proposes solutions for inefficiencies in processes"",""\n• Provides support for clients and producers related to any loss control resources and services including explaining exposures and controls."",""\n• Maintains a working knowledge of externally facing Loss Control systems including GoSafe and other resources available on the Atlas Website."",""\n• Develops resources for customers including checklists, training documents, and fliers."",""\n• Assists with other miscellaneous duties as necessary."",""\n"",""\nQualifications: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions."",""\n"",""\nEducation/Experience: Bachelor's degree (B. A.) in Occupational Health and Safety or related field from a four-year college or university or two to five years of experience in loss control or safety or an equivalent combination of education and experience required. Experience in insurance or construction a plus."",""\n"",""\nA successful candidate will show strong attention to detail, good judgment and problem-solving abilities, a high level of integrity, flexibility and the ability to reprioritize in a fast-paced working environment. Must be capable of self-direction and independent judgment. Must be a team player open to collaboration. Excellent interpersonal and customer service skills, verbal and written communication skills, email and telephone etiquette required."",""\n"",""\nWork Environment:"",""\nThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. The noise level in the work environment is usually moderate."",""\n"",""\nPhysical Demands:"",""\nThe physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions."",""\n"",""\nWhile performing the duties of this job, the employee is regularly required to sit and talk or hear. The employee is occasionally required to stand; walk; use hands and reach with hands and arms."",""\n"",""\nPLEASE APPLY VIA COMPANY CAREER PORTAL ONLY: "",""\n    ""]","full-time","Loss Control Analyst","2018-03-30 09:06","DOE (comprehensive benefit package and paid time off offered to all full-time employees)","https://sandiego.craigslist.org/csd/ofc/d/loss-control-analyst/6547252339.html"
"[""\n        "",""\nHi. My name is Kerry Spry. I'm the President and CEO of bwpcareers.com and I've got an exciting opportunity for a few new motivated professionals from your area that would like to immediately average $1800-$3000 PER WEEK in the \""easy to learn, easy to earn\"" recruiting business."",""\n"",""\nFirst things first...I know you've probably seen and heard it all before. You've heard all the empty and broken promises. You've heard all the bait and switch approaches a thousand times. Companies that promise a \""great opportunity\"" but want your hard earned money before you can get started. And by now you're sick of it all. All you want to do is earn a living and an income that affords you the opportunity to enjoy your life and do more for yourself and your family than just pay bills and get by. I know because I've been there before myself and I know exactly how it feels which is why the first thing I want to do is separate myself and my company by saying, \""this is not any of that at all, not even close\"". This is a real contract position and a real job where you can make great money fast and we will never ask for any money for any reason ever!!! So leave your concerns behind and focus on what you're about to read. "",""\n"",""\nIf you're offered a contract to work with bwpcareers.com, your job would be to work from your virtual office to find and hire \""commission only\"" sales representatives who live in any one of my clients 84 sales markets across the US to sell Above Ground Swimming Pools. My client will provide the sales representatives that you hire with 2-3 warm, credit pre-approved, TV and Internet appointments every day and will never ask your hires for a single dime. In addition they'll never ever be asked to do any cold calling of any kind, no door to door, no telemarketing and they will make very good money!!! Again, my client provides the sales representatives that you're hiring with 100% of their appointments. No cold calling of any kind will ever be required by the sales representatives you're hiring. Furthermore, my client will pay their gas money to run their first 10 appointments. All of that only makes your job as a Virtual Recruiter with bwpcareers.com even easier. "",""\n"",""\nAbout your pay as a Virtual Recruiter...I will pay you $300.00 plus bonuses for every new sales representative who graduates from my clients training class and runs just two appointments given to them by the client. Once they've graduated from training and have run at least two appointments given to them by the client, you will be paid your $300 fee and Average $1800-$3,000 PER WEEK!!! And if you don't have any recruiting experience at all, that's not a problem. Simply put, your job as a Recruiter is giving people a job for a living. It's that easy!!! Our average recruiter hires 6-10 new sales representatives per week. I also have recruiters who hire 15-20 new sales representatives per week times $300.00 per hire!!! Does that sound like the kind of money you want to be making? "",""\n"",""\nObviously there's a great deal of money to be made as a Virtual Sales Recruiter here with us at bwpcareers.com. Prove yourself useful and you can have this job every year for as long as you want it. The client our company serves has been in business for over 30 years and has been my client for over a decade!!! "",""\n"",""\nIf you're interested in this position or would like more details or to learn how to apply for this position please go to bwpcareers.com for a deeper more detailed job description as well as instructions on how to apply for this awesome opportunity. And as you can imagine I am extremely busy and am not accepting phone calls with questions about the position until you've been to bwpcareers.com and have read the entire job description at least once. So please do not call until you have been to my website and have read the entire job description at least once. I look forward to hearing from you."",""\n"",""\nKerry Spry -President and CEO"",""\nbwpcareers.com"",""\n800-706-0907 EXT. 7 "",""\n"",""\n(YOU DO NOT NEED TO CALL BUT IF YOU MUST, PLEASE DO NOT CALL UNTIL YOU'VE BEEN TO BWPCAREERS.COM AND HAVE READ THE ENTIRE PAGE.)"",""\n    ""]","full-time","***NO SALES! VIRTUAL RECRUITERS IMMEDIATELY AVG. $1800-$3000 PER WEEK!","2018-03-26 05:23","PLEASE SEE AD","https://sandiego.craigslist.org/csd/ofc/d/no-sales-virtual-recruiters/6543145324.html"
"[""\n        "",""\n"","" We are looking for an individual to fulfill the Administrative Assistant position. Position will report to CEO and President. "",""\n"",""\n"",""\nAdministrative Assistant duties and responsibilities include providing administrative support to ensure efficient operation of the office."",""\nAnswers, screens and appropriately directs incoming phone calls on a multi-line system."",""\nGreets and maintains working relationships with customers, clients, vendors, employment applicants and other visitors. "",""\nAbility to effectively communicate via phone and email ensuring that all administrative duties are completed accurately and delivered with high quality and in a timely manner. "",""\n"",""\nCoordinating and managing a highly dynamic calendar"",""\n"",""\nWrite companywide memos, emails, and reports when appropriate."",""\nCoordinate international and domestic travel arrangements and adjusts plans as needed."",""\n"",""\nEvent planning for meetings, company sponsored events, work and birthday celebrations. "",""\n"",""\nActs as a project manager for special projects, at the request of the CEO, which may include: research, project management and execution; planning and coordinating presentations, and disseminating information appropriately."",""\n"",""\nAssisting with collateral duties and special projects as assigned."",""\n"",""\n\n"",""\nEducation: Minimum: High School Degree + Experience "",""\nProven experience as an administrative assistant or office admin assistant. Minimum 2 years' experience in admin/general clerical work"",""\nProficiency in MS Office (Outlook, Word, MS Excel and MS PowerPoint, in particular)"",""\nWorking knowledge of office equipment, like printers and fax machines"",""\nExcellent time management skills; ability to prioritize work; written and verbal communication skills"",""\nMust be able to work in a fast-paced environment, and have the ability to problem solve and meet deadlines. "",""\nSharp, savvy, and resourceful with strong analytical skills. "",""\n"",""\n"",""\n"",""\n"",""\n"",""\n- Health Insurance"",""\n- Retirement Plan with Company Match (3%)"",""\n- Health Savings Account"",""\n- PTO and Sick Time Available"",""\n"",""\n"",""*** Please email your resume and salary requirements. ***\n"",""\n\n    ""]","full-time","Administrative Assistant- Full Time Position","2018-03-26 08:10","Commensurate with Experience","https://sandiego.craigslist.org/csd/ofc/d/administrative-assistant-full/6543296058.html"
"[""\n        "",""\nJob Description / Qualifications:"",""\n "",""\nThis position is accountable for performing complex administrative tasks.  Ideal candidate should possess excellent computer, organization skills, and can work with little or no direction, but in accordance with departmental priorities and company policies. Candidates should have experiences supporting departments or high level position. "",""\n"",""\nPrincipal accountabilities may include, but are not limited to:"",""\n  "",""\n•\tProvide Administrative support a team. "",""\n•\tCoordinate and perform complex administrative tasks, often of a confidential nature, using department procedures"",""\n•\tResearch and resolve a wide range of problems in accordance with department objectives, using discretion and sound judgment to facilitate workflow. "",""\n•\tCompose and prepare detailed reports, presentations, correspondence, meeting minutes, graphs, tables, charts, spreadsheets, including the use of graphics and text art. Includes researching and assembling information and materials from various sources. "",""\n•\tExercise some independent judgment in initiating, planning, coordinating and implementing a variety of large projects or functions. Plan and organize events, including price negotiation for equipment rental and catering services. "",""\n•\tUse advanced computer skills for various software packages including set up and maintenance of databases. Create and generate purchase requisitions and maintenance requests. Use advanced features of electronic mail and time management. "",""\n•\tMaintain multiple calendars for management and conference rooms; coordinate, plan, organize meetings, programs and events. "",""\n•\tTrain or assist department personnel and peers in office procedures, voice mail, electronic mail, time management, as well as limited training in software applications. Recommend changes to improve office efficiency. "",""\n•\tSetup and maintain specialized resource files. Authorize limited departmental expense and cost control for supplies, purchase requisitions, check requests, and department purchases. "",""\n•\tGenerate and distribute reports and presentations using Microsoft Excel and PowerPoint."",""\n"",""\nMinimum Qualifications "",""\n•\tHigh School diploma "",""\n"",""\nPreferred Qualifications \t"",""\n•\tStrong organizational skills"",""\n•\tHighly proficient in Microsoft Excel, Microsoft Word, and PowerPoint"",""\n•\tExcellent communication and interpersonal skills"",""\n•\tEducation beyond high school diploma"",""\n"",""\nMinimum Years Experience "",""\n•\t1 to 3 "",""\n"",""\nTravel Requirements"",""\n •\tNone to minimal"",""\n    ""]","full-time","Looking for Mid Level Admin Assistant","2018-03-26 08:20","Open","https://sandiego.craigslist.org/csd/ofc/d/looking-for-mid-level-admin/6543308271.html"
"[""\n        "",""\nDo you like to stay busy? Desire a role that keeps you moving? We are a premier community management company with an exciting career opportunity in our San Diego office. This is a full-time hourly position.We offer a competitive salary and one of the most generous benefits packages available in our industry. "",""\n"",""\nPosition Summary"",""\nThis position entails a variety of front and back office duties that include a high volume of customer service phone calls, emails, snail mail and general and specialized administrative duties. The ideal candidate will be proficient in Microsoft Office, have proficient writing skills, be extremely detail oriented and be able to work independently with a positive attitude at all times. The ideal candidate will also be flexible, able to work in a fast paced environment and able to learn new procedures and information quickly and efficiently. "",""\n"",""\nThis role requires performing a variety of duties involving research, filing, and general office support. The position is partly responsible for various duties at the front desk and the administration of our client records. This is an extremely busy and active position and multi-tasking is imperative."",""\n"",""\nExperience, Knowledge, Skills & Qualifications"",""\nStrong communication skills-verbal and written to include impeccable grammar, spelling and punctuation "",""\n-The ability to simultaneously manage and be accountable for multiple projects and tasks"",""\n-The ability to follow through on tasks and deadlines with minimal supervision."",""\n-The ability to work independently and as part of a team "",""\n-The ability to solve problems, offer solutions, think logically and have a quick and retentive memory"",""\n-Strong organizational and filing skills"",""\n-Is flexible, independent, accurate, thorough and customer service oriented "",""\n-The ability to interact professionally via email and over the phone with a variety of other departments, vendors and clients determining their needs and providing answers and solutions"",""\n-The ability to operate general Office machines to include postage and folding machines and copiers"",""\n"",""\nThe duties of this position are to be carried out with a friendly, enthusiastic, can-do attitude.  He or she must be able to maintain a friendly, positive attitude and a professional demeanor at all times. The Records and Storage Manager must be committed to producing a high quality of work and must be detail oriented and able to create efficient organizational systems. "",""\n"",""\nComputer Skills: "",""\nMust be proficient in Microsoft Outlook, Word, Excel, and PowerPoint. Must have general knowledge of how to use standard office equipment."",""\n"",""\nOther Qualifications:"",""\nMust be a team player willing to assist all departments as needed"",""\nMust be able to work independently and be solution oriented "",""\nMust be able to handle several tasks and projects simultaneously with minimal supervision"",""\nStrong communication and writing skills including impeccable grammar and spelling"",""\nHighly organized and detail oriented"",""\nMust keep a positive can do attitude at all times"",""\n    ""]","full-time","California's Best Customer Care Job!","2018-03-26 08:20","$13.50-$15.00/hour","https://sandiego.craigslist.org/csd/ofc/d/californias-best-customer/6543309064.html"
"[""\n        "",""\nFast growing Construction company is looking for an enthusiastic, friendly individual to fill a position in our Cable division and assist the Cable Field Supervisor and Senior Administrative Assistant.  This position is an entry level position and will initially be a Part-time position, however, depending on the individual and the needs of the company, this could quickly change into a Full-Time position.  This individual MUST be able to learn quickly, manage multiple priorities and be extremely organized.  "",""\n"",""\nRequirements:"",""\n - Must have a high school diploma or equivalent"",""\n - Must have a working knowledge in Microsoft Office, including Excel and Word"",""\n - Must have 2-3 years of experience in an Office Environment"",""\n - Must be able to work with a diverse group of people"",""\n - Possess excellent telephone skills"",""\n - Bilingual, a plus"",""\n"",""\nJob Summary:  This position requires a fast learner and must be able to work with multiple tasks and be able to prioritize.  Because of the nature of this position with multiple jobs in process with receipts and codes associated with each job, the individual MUST be extremely organized and detail-oriented.  This individual will work closely with the Cable Field Supervisor and Sr. Admin Asst. in the Cable Division.  Will assist them with the day-to-day operations which includes construction coordination, customer/vendor communication and billing.  Will assist in obtaining appropriate work orders for scheduled jobs, monitor and process invoices and track expenses for each completed job.  Maintain electronic and hard files and logs in accordance with established procedures.  Prepares and submit monthly reports, including weekly As-Build reports and other supporting documents for billing purposes."",""\n "",""\nIf interested, please submit your resume.  You will NOT be considered if a resume is not attached with your reply."",""\n"",""\nSERIOUS APPLICANTS ONLY"",""\n"",""\n - We offer Health benefits and Retirement plans"",""\n"",""\n    ""]","part-time","Construction Office Assistant","2018-03-26 08:57","$14.00","https://sandiego.craigslist.org/esd/ofc/d/construction-office-assistant/6543356224.html"
"[""\n        "",""\nJob Description:"",""\n"",""\nPayroll Company in El Cajon looking for payroll specialist."",""\n"",""\nThis is an excellent opportunity for any person who would like to work with payroll processing for multiple clients from one location. This is a key position to manage company payroll processing and online timekeeping system."",""\n"",""\nResponsibilities:"",""\n"",""\n• Responsible to contact client based on their payroll schedule"",""\n• Input client payroll in the payroll system"",""\n• Answer client's question about their payroll if any"",""\n• Resolve issue to do with client's payroll"",""\n• Form filing (Federal & State)"",""\n• Print and package payroll"",""\n• Answering phone"",""\n• Other clerical work"",""\n"",""\nRequired:"",""\n"",""\n• Good written and spoken communication skills required. "",""\n• Time Management "",""\n• Organization"",""\n• Professionalism"",""\n• Computer Literacy "",""\n• Self-Starter"",""\n    ""]","full-time","Payroll Assistant Needed","2018-03-26 09:07","Hourly","https://sandiego.craigslist.org/csd/ofc/d/payroll-assistant-needed/6543369287.html"
"[""\n        "",""\nWe are now hiring party planning assistants for the upcoming parties and events of the PB Reality Show! Duties include shopping, decorating, sending out invitations, and working with social media. This is a part-time position and you can work around your school schedule or other part time job."",""\n"",""\nIf you are interested, please send us a photo and your contact info."",""\n"",""\nWatch our new one-minute promo trailer here: "",""\n"",""\nCheckout our Facebook page here: "",""\n"",""\nSee our website here: "",""\n"",""\n    ""]","part-time","Hiring Party Planning Assistants For TV Show","2018-03-26 09:17","$17 per hour","https://sandiego.craigslist.org/csd/ofc/d/hiring-party-planning/6543382913.html"
"[""\n        "",""\nBob Baker Automotive is seeking an EXPERIENCED DMV Clerk."",""\n"",""\nDuties include but are not limited to:"",""\n"",""\n    New Vehicle DMV Processing"",""\n    Verifying accuracy of title documents."",""\n    Process transfer of ownership paperwork within DMV regulations."",""\n    Process refund checks."",""\n    Interact with customers in resolving any titling issues."",""\n    Maintain DMV bundle reconciliations."",""\n    Process and complete sale and title work for auction/wholesale sales as backup."",""\n    Working Accounting Schedules."",""\n"",""\nJob requirements:"",""\n"",""\n    Minimum of 1 year experience is mandatory,"",""\n    Resumes without Dealership DMV will not be considered."",""\n    Knowledge of DealerBuilt and DMV Desk a plus but will train."",""\n    Strong attention to detail."",""\n"",""\nBob Baker Automotive"",""\n"",""\n5555 Car Country Dr."",""\n"",""\nCarlsbad, CA 92008    ""]","full-time","EXPERIENCED DMV Clerk","2018-03-26 09:18","commensurate with experience","https://sandiego.craigslist.org/nsd/ofc/d/experienced-dmv-clerk/6543384065.html"
"[""\n        "",""\nBusiness Service Firm is seeking an experienced, detail-oriented and reliable administrative assistant. This position is 40 hours per week. The ability to be a self-starter is necessary. "",""\n"",""\nJob Duties:"",""\n"",""\n-\tAnswering Phones "",""\n-\tScheduling Appointments "",""\n-\tCommunicating Well With Clients"",""\n-\tOrganizing and Filing"",""\n-\tPhoto Copying "",""\n-\tData Entry"",""\n"",""\nPreferred:"",""\n"",""\n-\tBachelor's Degree preferred "",""\n-\tA working knowledge of QuickBooks, Excel and Word"",""\n"",""\n"",""\nPlease email resume and we look forward to talking with you soon!"",""\n    ""]","full-time","Bookkeeping Assistant Needed","2018-03-26 09:22","Hourly","https://sandiego.craigslist.org/csd/ofc/d/bookkeeping-assistant-needed/6543389938.html"
"[""\n        "",""\nMy Lineage, Inc. is a Worldwide heraldry company that supplies family heraldry and coat of arms. We have worldwide contracts with the US military and have been in business for over 10 years."",""\n"",""\nMy Lineage, Inc. is looking for an Administrative and Customer Service assistant to maintain and perform a variety of administrative tasks. Working on our team, you will be responsible for answering customer calls, organizing and distributing various documents, placing purchase orders and communicating with our vendors."",""\n"",""\nOur ideal candidate is an organized and outgoing individual who has superior customer service skills. As the first point of contact at the company, they are uncompromisingly friendly and proactive, and are willing to lend a hand where needed. Someone who is flexible and can prioritize shifting tasks in a fast-paced environment will succeed in this role"",""\n"",""\n"",""\nResponsibilities"",""\n• Answer incoming phone calls."",""\n• Create and execute Purchase orders."",""\n• Process labeling for UPS daily shipments."",""\n• Identify opportunities for improving administrative processes."",""\n• Perform other administrative tasks as requested."",""\n"",""\nQualifications"",""\n• Ability to provide superb customer service, including having a friendly, positive, and professional attitude."",""\n• Proficient in MS Office, including Word, Excel, PowerPoint, Outlook."",""\n• Strong organizational skills, including the ability to prioritize tasks and follow up."",""\n• Keen attention to detail."",""\n• Excellent written and verbal communication."",""\n"",""\nNotes"",""\n•\tPlease provide a cover letter. Your application will not be considered without one."",""\n•\tLocal candidates only."",""\n•\tMy Lineage, Inc. is an Equal Opportunity Employer.    ""]","full-time","Customer Service and Administration $16-$18 DOE","2018-03-26 09:25","$16 - $18 an hour DOE includes health and PTO benefits M-F 9.00AM - 5.00PM","https://sandiego.craigslist.org/csd/ofc/d/customer-service-and/6543393999.html"
"[""\n        "",""\nOutstanding Biotech company seeks candidate to assist with managing documents supporting Company's Quality Systems."",""\n"",""\nEssential Functions include:"",""\n•Provide support in gathering, organizing, and uploading documents from the current paper based system into the eDMS system."",""\n•Assist QA in maintaining controlled documents including SOPs, Forms, Labels, Specifications and Quality Agreements. "",""\n•Interact with CMO document control units to gather and maintain up-to-date manufacturing, testing, and other documentation for Company sponsored products"",""\n•Prepare appropriate responses to internal customers and maintain quality policies and procedures according to company requirements.  "",""\n•Various other duties, as assigned"",""\n"",""\nRequirements:  "",""\n•Associate or Bachelor's degree with a minimum of 1 year experience working in a regulated industry performing Document Control or Quality Assurance activities.  Equivalent combination of education and applicable job experience may be considered.  "",""\n•Professional, well-organized and detail oriented "",""\n•Self-motivated with the ability to work independently, organize, and prioritize multiple tasks"",""\n"",""\n    ""]","contract","QA Associate-Document Control","2018-03-26 09:27","$20-25/hour","https://sandiego.craigslist.org/nsd/ofc/d/qa-associate-document-control/6543395735.html"
"[""\n        "",""\nGTM is a discount store with 4 retail locations where our customers are our top concern and our work is geared towards providing them with the best values in the San Diego area. "",""\n"",""\nWe are currently looking for an experienced person with a background in office administration, and/or warehouse operations (receiving, etc.) to join our administrative team at our corporate offices & distribution center. The right candidate will be able to wear many hats and take on a variety of responsibilities in this role with the above-mentioned combination of experience. A degree is not required, but practical experience and skills are a must."",""\n"",""\nThe following skills/proficiencies are required for this position:"",""\n•\tExcel - knowledge of formulas, sorting, building basic spreadsheets and troubleshooting errors. "",""\n•\tWord, Outlook and basic MS Office programs"",""\n•\tExcellent attention to detail, including spelling, grammar, & basic math"",""\n•\tExcellent communication skills, including emails & phone use"",""\n•\tHighly organized and able to multi-task when necessary"",""\n•\tTechnical skills - ability to learn new programs that are industry specific to warehouse inventory management"",""\n•\tGood time management skills to accomplish projects within time parameters given"",""\n•\tTakes initiative "",""\n"",""\n"",""\nNot required, but highly desired skills/knowledge:"",""\n•\tWarehouse operations - understanding basics on warehouse/distribution procedures, including receiving operations"",""\n•\tInventory management/tracking"",""\n•\tAbility to create and manage new procedures to streamline tasks for a more efficient workflow"",""\nWe are willing to train the right person who has the required skills but is lacking experience in the above areas."",""\n"",""\nDuties include, but not limited to:"",""\n"",""\n• Merchandise Receiving Support: Assists the buying team with sorting/analyzing manifests and breaking down costs. Processes incoming deliveries and matches purchase orders with BOL's to ensure that all product received."",""\n"",""\n• Accounts Payable: Processing received purchase orders in a timely manner and completing weekly payables."",""\n"",""\n•Admin: Compiling reports and data entry on a weekly basis. Managing vendor information."",""\n"",""\n•Warehouse Operations Support: Assist in inventory control. This may include data entry to add/remove/move inventory in the system, printing labels, cycle checks, and other support to the warehouse. Completing weekly tasks on a timely basis. "",""\n"",""\nQualifications:"",""\n•\tHigh School Diploma/GED Completion"",""\n•\tExperience working in an office/admin setting. "",""\n•\tExperience with retail distribution/warehouse operations a plus."",""\n"",""\n"",""\nThis is a full-time position, Monday-Friday. 6am-2:30pm or 7am-3:30pm. Room to grow for the right candidate. GTM offers full benefits after 90 days. "",""\n"",""\nPlease visit our website to get an idea of what we do. www.gtmstores.com"",""\n"",""\nReply by email and include a resume and cover letter."",""\n"",""\n**Please NO phone calls regarding this position; we will contact you after viewing your resume if we would like to request an interview.**"",""\n    ""]","full-time","Administrative Support for Retail Distribution Center F/T","2018-03-26 10:07","$12-$13 per hour, depending on experience","https://sandiego.craigslist.org/ssd/ofc/d/administrative-support-for/6543450033.html"
"[""\n        "",""\nSan Diego based attorney support company located in downtown currently has an opening for an part-time administrative assistant for clerical and data entry to include as follows:"",""\n"",""\n•\tMailings"",""\n•\tData Entry"",""\n•\tCustomer Service and phone support"",""\n•\tDocument production"",""\n•\tMessenger jobs, so reliable vehicle required"",""\n•\tOffice support"",""\n"",""\nIdeal candidate will have strong communication skills and be a team player.  MUST be able to multi-task in a fast-paced environment. Must be able to type 50+WPM.  Candidate ideally bilingual (English/Spanish), though not a requirement.  Compensation based on experience.  When driving during business hours, mileage reimbursement provided.  Hours will be from 8:30am-12:30pm Monday-Friday. Please submit your resume via email."",""\n    ""]","part-time","Office Assistant/Data Entry Clerk Needed","2018-03-26 11:24","Hourly + mileage","https://sandiego.craigslist.org/csd/ofc/d/office-assistant-data-entry/6543547283.html"
"[""\n        "",""\nImmediate opening                                                                                                                                                                                                                                                          Must have knowledge of medical terminology, CPT coding and ICD-10 coding.                                                                                                  Must be computer literate in medical programs.                                                                                                                                    Must be able to contact insurance companies to confirm current insurance status and obtain prior authorizations when needed.                         Also included in job responsibilities are answering phones, scheduling appointments, taking vital signs and scheduling procedures.                Full details of the job will be discussed during the interviews.    ""]","full-time","Doctor's office/Administrative assistant","2018-03-26 11:28","discussed during interview","https://sandiego.craigslist.org/csd/ofc/d/doctors-office-administrative/6543553034.html"
"[""\n        "",""\nJOB DESCRIPTION"",""\n"",""\nWe are looking to hire a tech-savvy, well-organized, dependable, and detail oriented Executive Assistant who wants to experience the excitement of working in a technology startup company environment. This is a paid, part-time position (approximately 20 hours per week). Work hours are negotiable but will be Monday thru Friday only. "",""\n"",""\nAs the first EA at Halcyon Technologies Inc., you have the opportunity to make a huge impact on the organization and have the ability to truly make this role your own You'll support our executive team with various tasks which will give you exposure into every area of our business. This person will play a crucial role in supporting the company's Leadership operations, enabling the executive team to be optimally productive and perpetually prepared to tackle the next obstacle to our success. If you're a resilient multi-tasker with confident communication skills, this could be the right role for you. Also, there is excellent upward growth trajectory"",""\n"",""\nThe ideal candidate not only has excellent oral and written communication skills and but can organize their work using tools like MS Excel, Outlook, Word, PowerPoint and Google suite tools and other productivity software. Ultimately, a successful Executive Assistant should ensure the efficient and smooth day-to-day operation of our office. If you have previous experience as an EA and familiarity or interest in our industry, we'd like to meet you."",""\n"",""\nBefore you read the responsibilities and qualifications it's important that you know a few things about us: Halcyon Mobile Security Solutions is  Southern California's Premier Mobile LED Light and CCTV Surveillance Solutions Provider. Check out our social media for more information on our company: "",""\n"",""\n"",""\n"",""\n"",""\nRESPONSIBILITIES:"",""\n"",""\nYou will be handling the daily general clerical functions such as filing, answering phones, creating correspondence and calculating rates to quote to customers when they call.  You will need to coordinate a variety of logistics, ensuring each project and event is executed in line with business goals and company vision. Work as an active and involved member of the team performing any task needed to support the retention and growth of accounts and prospects. This includes but is not limited to customer follow up calls, social media management, Client Resources Management, assisting in the creation of detailed processes as needed, providing administrative support to Business Development Director, and Drafting Documents. You will Ensure that each client receives outstanding and exceptional customer service by providing a friendly environment which includes greeting and acknowledging every client, maintaining outstanding standards, solid product knowledge and all other components of Customer Service before, during, and after sales. "",""\n"",""\n"",""\nOther Duties:"",""\n• Learn company's technology, products, and processes."",""\n• Assist in maintaining a clean and organized office environment"",""\n• Assist team with special projects"",""\n• Assist and Learn to execute targeted direct mail & email marketing campaigns and projects executed with accuracy and efficiency"",""\n• Responsible for managing all steps of production schedules & supporting sales team"",""\n• Maintain a working knowledge of the Company's Contact Relationship Management tool to be able to produce management reports, reconcile outstanding items on such reports, and/or enter client activity. "",""\n• managing inbound phone calls to the general office number "",""\n• liaise with office landlord on tenancy issues, including organizing office maintenance as necessary"",""\n• other ad hoc duties as required in the running of a busy office including proof reading, formatting and collating Word, Excel and Power Point files and presentations, printing and binding documents."",""\n• collection, distribution and opening of mail (limited)"",""\n• Proactively build and maintain a book of business through calls, email, and other specific CRM initiatives. Enhance relationships and drive business through consistent follow up"",""\n"",""\nREQUIREMENTS/QUALIFICTIONS"",""\n• Partner and provide support to our team at our office approximately at least 20 hours per week on a consistent, pre-determined schedule -- punctuality and reliability is extremely important in this role. "",""\n• The tech-savvy part of this job is very important -  90% of your daily tasks utilize online tools so you have to be comfortable with internet and technology"",""\n• Grasps concepts quickly and has good follow through skills; adheres to work schedule and follows through on challenges as they arise; maintains a positive outlook."",""\n• Service-minded and strong customer service focus, flexible and passionate about improving workplace environment"",""\n• Is self-motivated; maintains a feeling of pride in work; has a strong work ethic and strives to achieve all goals; is competitive and has a strong drive to win; takes appropriate risks."",""\n• Is trustworthy and maintains the highest level of confidentiality at all times. Team Player with superior interpersonal skills. Ability to work in a collaborative environment"",""\n• Has the ability to identify the information needed to clarify a situation; seeks information from appropriate sources; has the ability to tackle a problem using a logical, sequential approach and can anticipate the implications of actions."",""\n"",""\nTO APPLY:"",""\n"",""\nReply with cover letter, resume, and current days and hours of availability"",""\n"",""\n"",""\n"",""\n"",""\n   "",""\n"",""\n    ""]","part-time","Executive Assistant- Tech-savvy, Part Time","2018-03-26 12:38","$13-$18 depending on experience","https://sandiego.craigslist.org/csd/ofc/d/executive-assistant-tech/6543640349.html"
"[""\n        "",""\n"",""    ""]","contract","Administrative Representative","2018-03-26 13:08","$14-$15/hr","https://sandiego.craigslist.org/nsd/ofc/d/administrative-representative/6543674820.html"
